,cancelation
51014,True
28536,False
21745,False
17502,False
83295,False
67872,True
21763,False
16156,False
100645,False
95004,False
17091,False
108530,False
114421,False
85091,False
4831,False
33283,False
88041,False
33938,False
16598,False
102546,False
87092,False
47838,False
98036,False
74584,True
82933,True
26829,False
55998,True
45109,False
41251,False
25959,False
82206,False
114825,False
57822,True
1085,True
54107,True
20416,False
97354,False
89146,False
69013,True
89361,False
83059,False
53396,True
55792,False
83984,False
63099,True
48181,True
80471,True
49519,True
22481,False
11572,True
114692,False
59287,True
37753,False
89954,False
17312,False
60632,True
87738,False
10040,True
10741,True
28207,False
97215,False
28569,False
116469,False
82183,True
17251,True
40525,False
77557,True
11709,True
72420,True
50207,True
91283,False
29172,False
92668,False
1655,False
8361,True
21865,False
97035,False
6907,True
60009,True
106065,False
69189,True
116238,False
26389,False
109354,False
113706,False
83552,False
74516,True
101919,False
109348,False
71397,True
18531,False
39866,False
81108,True
19694,False
82648,True
43835,False
68267,True
117210,False
83232,False
20178,False
118142,False
49602,True
117555,False
79037,False
43195,False
58537,True
29355,False
30850,False
70474,True
81594,True
2465,False
105132,False
83771,False
16429,False
12105,True
88600,False
74342,True
96322,False
6396,False
20142,False
11618,True
54269,True
86129,False
74527,True
112778,False
101510,False
37463,False
24743,False
67806,True
113672,False
97017,False
43412,False
117324,False
70747,True
67531,True
100751,False
11304,True
93281,False
79560,True
44268,False
23668,False
24301,False
34008,False
36370,False
23349,False
10045,True
10529,True
88094,False
96908,False
66714,True
3715,True
47078,True
24278,False
94852,False
479,False
49003,True
66189,True
83139,False
81039,True
96714,False
17060,False
10168,True
17640,False
29852,False
19775,False
61646,True
48253,True
106911,False
108665,False
102208,False
29294,False
97498,False
52570,True
80150,True
95669,False
77231,False
42693,False
82896,True
115711,False
65325,True
62656,True
72352,True
75918,True
36239,False
16373,False
108916,False
95581,False
4063,True
72727,True
8305,False
56598,True
54954,True
85408,False
89491,False
60625,True
89328,False
74446,True
54779,True
3525,True
87411,False
21990,False
72046,True
102148,False
113669,False
52010,True
100130,False
117714,False
68774,True
16098,False
10748,True
96940,False
40453,False
65779,True
43335,False
21379,False
50630,True
74741,True
119010,False
21719,False
88902,False
59742,True
80363,False
96012,False
41394,False
85390,False
118931,False
18939,False
31528,False
102055,False
45553,False
111651,False
16804,False
87847,False
104056,False
102787,False
19895,False
116697,False
119165,False
67578,True
81814,True
52201,True
37268,False
28018,False
50083,True
41853,True
27069,False
53777,True
95874,False
46713,False
100002,False
108541,False
79992,True
12455,True
97584,False
5494,False
100744,False
35353,False
19019,False
1231,True
96905,False
119189,False
27742,False
112220,False
72431,True
58960,True
69260,True
8284,True
22966,False
110535,False
13683,True
71316,True
40316,True
116232,False
68170,True
113707,False
8689,True
86243,False
56370,True
28464,False
90003,False
96492,False
61553,True
83921,False
108977,False
74333,True
15389,False
6533,True
103085,False
38830,False
112293,False
117300,False
9855,True
45687,False
35220,False
65652,True
45232,True
93854,False
14417,False
102566,False
42379,True
115902,False
50959,False
59414,True
100235,False
14752,True
105911,False
29728,False
60853,True
86086,False
12929,True
107561,False
